bank_name,bank_code,sort_code
Ekondo MFB,90097,90097
FBN Mortgages Limited,90107,90107
New Prudential Bank,90108,90108
VFD Micro Finance Bank,90110,90110
Seed Capital Microfinance Bank,90112,90112
Microvis Microfinance Bank,90113,90113
Empire trust MFB,90114,90114
TCF MFB,90115,90115
AMML MFB,90116,90116
Boctrust Microfinance Bank,90117,90117
Ohafia Microfinance Bank,90119,90119
Wetland Microfinance Bank,90120,90120
Gowans Microfinance Bank,90122,90122
Verite Microfinance Bank,90123,90123
Xslnce Microfinance Bank,90124,90124
Regent Microfinance Bank,90125,90125
Fidfund Microfinance Bank,90126,90126
BC Kash Microfinance Bank,90127,90127
Ndiorah Microfinance Bank,90128,90128
Money Trust Microfinance Bank,90129,90129
Consumer Microfinance Bank,90130,90130
Allworkers Microfinance Bank,90131,90131
Richway Microfinance Bank,90132,90132
 AL-Barakah Microfinance Bank,90133,90133
Accion Microfinance Bank,90134,90134
Personal Trust Microfinance Bank,90135,90135
Baobab Microfinance Bank,90136,90136
PecanTrust Microfinance Bank,90137,90137
Royal Exchange Microfinance Bank,90138,90138
Visa Microfinance Bank,90139,90139
Sagamu Microfinance Bank,90140,90140
Chikum Microfinance Bank,90141,90141
Yes Microfinance Bank,90142,90142
Apeks Microfinance Bank,90143,90143
CIT Microfinance Bank,90144,90144
Fullrange Microfinance Bank,90145,90145
Trident Microfinance Bank,90146,90146
Hackman Microfinance Bank,90147,90147
Bowen Microfinance Bank,90148,90148
IRL Microfinance Bank,90149,90149
Virtue Microfinance Bank,90150,90150
Mutual Trust Microfinance Bank,90151,90151
Nagarta Microfinance Bank,90152,90152
FFS Microfinance Bank,90153,90153
CEMCS Microfinance Bank,90154,90154
La  Fayette Microfinance Bank,90155,90155
e-Barcs Microfinance Bank,90156,90156
Infinity Microfinance Bank,90157,90157
Futo Microfinance Bank,90158,90158
Credit Afrique Microfinance Bank,90159,90159
Addosser Microfinance Bank,90160,90160
Okpoga Microfinance Bank,90161,90161
Stanford Microfinance Bak,90162,90162
First Multiple Microfinance Bank,90163,90163
First Royal Microfinance Bank,90164,90164
Petra Microfinance Bank,90165,90165
Eso-E Microfinance Bank,90166,90166
Daylight Microfinance Bank,90167,90167
Gashua Microfinance Bank,90168,90168
Alpha Kapital Microfinance Bank,90169,90169
